conflictName,date,territoryChange,result,lat,long
Operation Flash,5/3/1995,Croatia secured  of its territory.,Croatian strategic victory,45.25999832,17.20000076
Operation Stupčanica '95,7/26/1995,Žepa enclave incorporated into the Republika Srpska,Army of Republika Srpskavictory,43.95000076,19.11666679
Siege of Žepa,7/26/1995,Žepa enclave incorporated into the Republika Srpska,Army of Republika Srpskavictory,43.95000076,19.11666679
Operation Storm,8/7/1995,Croatia regained  of territory.,Croatian and Bosnian victory,44.04000092,16.20000076
Operation Mistral 2,9/15/1995,"Croatian forces capture the towns of Jajce, Drvar and Šipovo",Croatian victory,44.34282684,17.26826859
Operation Una,9/19/1995,"Republika Srpska retains control over Bosanska Kostajnica, Novi Grad and Bosanska Dubica",Army of Republika Srpskavictory,45.17991257,16.8014183
Operation Sana,10/13/1995,"ARBiH captures Bosanska Krupa, Bosanski Petrovac, Ključ and Sanski Most",Bosnian victory,44.76945877,16.65186691
Battle of Junik,8/16/1998,Yugoslav government regains control of Junik,Yugoslav victory,42.48333359,20.28333282
Insurgency in the Preševo Valley,6/12/1999,"FR Yugoslavia regains control of demilitarized Ground Safety Zone, including around  previously held by the UÇPMB",* Amnesty for UÇPMB members,42.30559921,21.64279938
Battle of Bukoc,12/8/2000,UÇPMB forces capture Bukoc,UÇPMB victory,42.36055374,21.64861107
Battle of Oraovica,5/14/2001,Yugoslav forces regain control over Oraovica,Yugoslav victory,42.32166672,21.6558342
Battle of Idlib (2012),3/13/2012,Syrian government forces regain control over Idlib,Syrian government victory,35.92969894,36.63169861
Battle of Tremseh,7/12/2012,Syrian government forces regain control of Tremseh,Syrian government victory,35.27305603,36.5047226
Siege of Menagh Air Base,8/2/2012,* Rebels capture the Menagh Air Base,Rebel victory,36.52194595,37.04111099
Battle of Raqqa (2013),3/6/2013,Rebels seize Raqqa from government forces,Rebel victory,35.95000076,39.01670074
Capture of the Crimean Parliament,2/27/2014,0001-03-18,Russian victory,44.95166779,34.09669113
2014 Russian take down of the Verkhovna Rada of Crimea,2/27/2014,0001-03-18,Russian victory,44.95166779,34.09669113
War of the Fifth Coalition,4/10/2014,"Various Austrian territories were ceded:
* Illyrian Provinces to France
* Salzburg to Bavaria
* West Galicia to Duchy of Warsaw
* Tarnopol to Russia",French victory,50,14
Siege of Sloviansk,4/12/2014,Withdrawal of Russia's DPR People's Militia to the city of Donetsk,Ukrainian victory,48.86999893,37.625
Siege of Kobanî,9/15/2014,0001-03-20,Rojava Federationvictory,36.88970184,38.35559845
Second Battle of Donetsk Airport,9/28/2014,"* Ukrainian forces withdraw from Donetsk airport to Pisky
* Successful DPR capture of the Donetsk airport",DPR-Russian victory,48.07360077,37.73970032
Battle of Debaltseve,2/20/2015,"DPR and LPR forces capture Debaltseve, Vuhlehirsk, Lohvynove and four other villages",DPR and LPR victory,48.37990189,38.34540176
Battle of Idlib (2015),3/28/2015,"* Rebels capture Idlib city and besiege Kafarya and al-Fu'ah, while government forces retreat to al-Mastouma",Rebel victory,35.64360046,36.6996994
Gošince attack,4/21/2015,Macedonian border police control over the Gošince post restored after the departure of militants,Departure of the militants and hostages escaped,42.21409988,21.51720047
Battle of Sarrin (June–July 2015),6/18/2015,0001-07-27,YPG-led victory,36.58750153,38.29972076
Shyrokyne standoff,7/3/2015,"* Ukrainian forces capture Shyrokyne, Pavlopil, Kominternovo and Oktyabyr
* Separatists recapture Pavlopil, Pyshchevyk, Vodyane, Kominternovo, Oktyabyr and much of Shyrokyne
* Ukrainian forces once again capture Pavlopil, Pyshchevyk and Vodyane
* Separatists withdraw from Shyrokyne, which is destroyed by the fighting, and it becomes a demilitarized zone",Ceasefire,47.11119843,37.6780014
Tell Abyad offensive,7/10/2015,"* The YPG captures Tell Abyad, Suluk, Ayn Issa, 32+ villages, the Brigade 93 base and part of the M4 Highway in northern Raqqa
* The YPG & FSA geographically connects the Kobani Canton with the Jazira Canton.",Major YPG-led victory,36.69729996,38.95510101
Tishrin Dam offensive,12/30/2015,"* The SDF captures Tishrin Dam and Tishrin town
* The SDF captures over 100 villages and",Major SDF victory,36.38140106,38.17860031
Operation Euphrates Shield,8/24/2016,"Turkish-backed Syrian rebels captured a total of , including 230 settlements, increasing FSA-controlled territory in the region to ; Islamic State of Iraq and the Levant-held territory along the Turkish–Syrian border completely captured by the Turkish-backed rebels",Turkish and TFSA victory,36.81900024,38.01100159
Raqqa campaign (2016–2017),11/6/2016,"The SDF captures more than  of territory from ISIL during the first, second and third phases of the campaign",Decisive SDF /CJTF-OIRvictory,35.95000076,39.00999832
Battle of Tabqa,5/10/2017,"* The SDF gains a foothold south of the Euphrates
* The SDF captures Tabqa Airbase, Tabqa city, Tabqa Dam, and more than 8 villages",MajorSDFvictory,35.83670044,38.54809952
Battle of Raqqa (2017),10/17/2017,0001-06-08,* 80% of the city is destroyed,35.95000076,39.01670074
Capture of Chernobyl,2/24/2022,Russia captures the Chernobyl Exclusion Zone and Chernobyl Nuclear Power Plant; withdraws in April 2022,Russian victory,51.26666641,30.21666718
Battle of Antonov Airport,2/25/2022,0001-04-02,See: [[#Analysis,50.59083176,30.20750046
Battle of Popasna,4/18/2022,Russian and LPR forces capture Popasna,Russian victory,48.61666489,38.34999847
Siege of Mariupol,5/20/2022,Russia captures the city of Mariupol,Russian victory,47.09799957,37.61000061
Battle of Soledar,8/3/2022,Russian forces capture Soledar,Russian victory,48.69083405,38.07416534
Battle of Avdiivka (2023–2024),10/10/2023,Russian forces capture Avdiivka and some surrounding villages,Russian victory,48.13000107,37.77000046
